timestamp,angle,trackPos,speedX,speedY,speedZ,rpm,wheelSpinVel_0,wheelSpinVel_1,wheelSpinVel_2,wheelSpinVel_3,track_0,track_1,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18,target_steer,target_accel,target_brake
0.138,-0.00105589,-0.00062151,2.24311,-0.320093,0.0886616,5235.99,1.69343,1.64507,2.14572,2.14572,5.00311,5.07935,5.32215,5.77357,6.52531,7.77368,9.98796,14.5858,28.6403,200.0,28.9493,14.6525,10.0121,7.78358,6.52877,5.77344,5.31963,5.07493,4.9969,-0.8501524250003418,0.9039962585558085,0.0
0.158,0.000280205,-0.00100002,2.98123,-0.379306,0.151109,5235.99,2.35258,2.45833,2.86849,2.86849,5.005,5.08246,5.32675,5.78021,6.5351,7.789,10.0149,14.6449,28.8685,200.0,28.7194,14.5932,9.98515,7.76824,6.51898,5.7668,5.31503,5.07181,4.995,-0.7223351333752905,0.9231970068446468,0.0
0.178,0.00173408,-0.00142727,3.72942,-0.39491,0.215564,5235.99,3.40268,3.63419,3.70237,3.70237,5.00714,5.08594,5.33186,5.78755,6.54589,7.80587,10.0445,14.71,29.1214,200.0,28.4727,14.5289,9.95583,7.75151,6.50826,5.7595,5.30995,5.06834,4.99287,-0.463610886931497,0.9385576054757174,0.0
0.198,0.00315696,-0.00185452,4.5341,-0.327825,0.27696,5235.99,4.62167,4.32233,4.50127,4.50127,5.0093,5.08941,5.33692,5.7948,6.55654,7.82252,10.0737,14.7744,29.3733,200.0,28.2351,14.4665,9.92722,7.73513,6.49775,5.75234,5.30495,5.06492,4.99075,-0.24364850589177245,0.9508460843805739,0.0
0.218,0.00413114,-0.00217199,5.36184,-0.209986,0.332377,5235.99,5.39455,5.17153,5.26475,5.26475,5.0109,5.09191,5.34052,5.79993,6.56402,7.83415,10.094,14.8191,29.5489,200.0,28.0738,14.4237,9.90748,7.72376,6.49042,5.7473,5.30141,5.06246,4.98918,-0.056739299008006595,0.9606768675044591,0.0
0.238,0.00451118,-0.00234909,6.18713,-0.0685633,0.380688,5235.99,6.17852,6.2338,6.11098,6.11098,5.0118,5.09316,5.34221,5.80224,6.5673,7.83912,10.1025,14.8374,29.6196,200.0,28.0099,14.4063,9.89926,7.71893,6.48721,5.74503,5.29974,5.06123,4.98831,0.1020215235931944,0.9685414940035673,0.0
0.26,0.00416404,-0.00234909,7.15826,0.0992105,0.430915,5235.99,6.20159,6.36519,7.07775,7.07775,5.01179,5.09284,5.34153,5.80106,6.56537,7.83585,10.0964,14.8231,29.5598,200.0,28.0637,14.4198,9.90516,7.72209,6.48909,5.74618,5.3004,5.06153,4.9883,0.23680067930421525,0.9748331952028538,0.0
0.28,0.00311357,-0.00215998,7.99479,0.268519,0.477311,5235.99,6.93384,6.69391,7.98043,7.98043,5.01082,5.09092,5.33846,5.79642,6.5583,7.82449,10.076,14.7771,29.3749,200.0,28.2333,14.4638,9.92492,7.73316,6.496,5.75072,5.30341,5.06341,4.98922,0.35117411140858296,0.829866556162283,0.0
0.3,0.00138075,-0.00175724,8.71456,0.455908,0.523793,5235.99,7.72122,7.26892,8.27915,8.27915,5.00879,5.0873,5.33292,5.78827,6.5461,7.80514,10.0416,14.7005,29.0721,200.0,28.52,14.5382,9.95862,7.7522,6.50803,5.75877,5.30888,5.06698,4.99122,0.44818154857229553,0.8638932449298264,0.0
0.32,-0.0010826,-0.00114088,9.40433,0.623999,0.567009,5235.99,8.90996,7.99084,9.11948,9.11948,5.00571,5.08196,5.32486,5.77648,6.52856,7.77746,9.99268,14.5923,28.6508,200.0,28.9387,14.6459,10.0074,7.77979,6.52552,5.77052,5.31692,5.07231,4.9943,0.38039025691145123,0.8911145959438611,0.0
0.34,-0.00350445,-0.000469589,10.1511,0.59382,0.610927,5235.99,9.8244,9.06537,9.89034,9.89034,5.00238,5.07641,5.31664,5.76459,6.51099,7.74995,9.9444,14.4865,28.2462,200.0,29.3641,14.7543,10.0564,7.80762,6.54325,5.78253,5.32522,5.07792,4.99768,0.17268565837473354,0.9128916767550889,0.0
0.36,-0.00512713,0.000110149,10.9448,0.367641,0.65673,5235.99,10.4652,10.0977,10.6667,10.6667,4.99952,5.07205,5.31046,5.7559,6.49845,7.73063,9.91102,14.4146,27.9775,200.0,29.6599,14.8297,10.0908,7.82741,6.55605,5.79136,5.33149,5.08235,5.00062,-0.0037542772564764845,0.9303133414040711,0.0
0.38,-0.0054323,0.000403023,11.7503,0.0774523,0.704439,5235.99,11.0036,11.0255,11.4718,11.4718,4.99806,5.0703,5.30833,5.75322,6.4949,7.72558,9.90294,14.3984,27.9224,200.0,29.7216,14.8467,10.0992,7.83258,6.55967,5.79409,5.33366,5.08412,5.00209,-0.15345969554300498,0.9442506731232568,0.0
0.4,-0.00445908,0.00037241,12.5573,-0.210871,0.753467,5235.99,11.5137,11.8581,12.3191,12.3191,4.99819,5.07131,5.31034,5.75659,6.50035,7.7347,9.91976,14.4369,28.0735,200.0,29.5522,14.806,10.0817,7.82316,6.55405,5.79062,5.33158,5.08307,5.00191,-0.28040114746155426,0.9554005384986055,0.0
0.42,-0.00227373,1.82152e-05,13.3613,-0.482735,0.80298,5235.99,12.0641,12.6765,13.1994,13.1994,4.99992,5.07502,5.31641,5.76584,6.51451,7.75748,9.96062,14.528,28.4268,200.0,29.1706,14.7112,10.0397,7.79992,6.53965,5.78121,5.32541,5.07927,5.0001,-0.38796185334232114,0.9643204307988844,0.0
0.44,0.00106651,-0.000677681,14.1617,-0.736433,0.852045,5235.99,12.6706,13.5302,14.1074,14.1074,5.00339,5.08153,5.32657,5.78098,6.53731,7.7938,10.0253,14.6719,28.9887,200.0,28.6014,14.5664,9.97481,7.76349,6.51679,5.76604,5.31522,5.07274,4.99661,-0.17901778021597298,0.8214563446391075,0.0
0.46,0.00357229,-0.00143471,14.9397,-0.523174,0.90005,5235.99,13.5381,13.9088,14.1045,14.1045,5.00721,5.08765,5.33549,5.79377,6.5561,7.82314,10.0768,14.7852,29.4316,200.0,28.1818,14.4563,9.92431,7.73458,6.49823,5.75339,5.30639,5.06669,4.99286,-0.0014986740585770457,0.8571650757112861,0.0
0.48,0.0041855,-0.00185595,15.6744,-0.15432,0.94437,5235.99,14.3591,14.3361,14.9037,14.9037,5.00932,5.09036,5.33894,5.79828,6.56225,7.83219,10.0918,14.8167,29.5489,200.0,28.0743,14.4261,9.90969,7.72571,6.49218,5.74895,5.30298,5.06402,4.99076,0.14901339042520947,0.8857320605690289,0.0
0.502,0.00293571,-0.00184393,16.4893,0.23766,0.991597,5235.99,15.2935,14.9002,15.8536,15.8536,5.00924,5.08915,5.33643,5.79399,6.55525,7.82036,10.0697,14.7651,29.3355,200.0,28.2702,14.4754,9.93111,7.73724,6.49902,5.75313,5.30543,5.06517,4.9908,0.27650589061142805,0.908585648455223,0.0
0.522,0.000276391,-0.00140467,17.2357,0.564191,1.03515,5235.99,16.1838,15.4555,16.7631,16.7631,5.00702,5.08451,5.3289,5.78253,6.53772,7.79211,10.0188,14.6507,28.8796,200.0,28.7084,14.5874,9.98118,7.76514,6.51636,5.76447,5.31288,5.06975,4.99298,0.23447526639471383,0.9268685187641784,0.0
0.542,-0.00260847,-0.000727367,18.0299,0.60658,1.08069,5235.99,16.8625,16.2233,17.5862,17.5862,5.00365,5.07851,5.31973,5.76903,6.51754,7.76018,9.9623,14.5256,28.3948,200.0,29.2051,14.7139,10.0381,7.79723,6.53662,5.77802,5.32209,5.07579,4.99638,0.048593125848006756,0.7914948150113427,0.0
0.562,-0.00414961,-0.000135517,18.7664,0.316162,1.12661,5235.99,17.2605,17.1159,17.5917,17.5917,5.00072,5.07415,5.31363,5.76053,6.50533,7.74146,9.93007,14.4563,28.1359,200.0,29.4841,14.7857,10.0711,7.81628,6.54901,5.78663,5.32826,5.08021,4.99937,-0.10917894565419428,0.8331958520090741,0.0
0.582,-0.00358599,5.35011e-05,19.4593,-0.0943038,1.16949,5235.99,17.6603,17.9659,18.437,18.437,4.99976,5.07369,5.3137,5.7613,6.50715,7.74515,9.93781,14.4757,28.2186,200.0,29.3934,14.7654,10.0631,7.81247,6.54713,5.78583,5.32816,5.08065,5.0003,-0.24281680918106513,0.8665566816072593,0.0
0.602,-0.00111168,-0.000251865,20.1626,-0.494036,1.21158,5235.99,18.1278,18.8509,19.3524,19.3524,5.00126,5.07742,5.32008,5.77126,6.5226,7.77029,9.9833,14.5782,28.6207,200.0,28.9693,14.6601,10.0168,7.78698,6.53149,5.77576,5.3217,5.07685,4.99874,-0.3559101849289053,0.8932453452858075,0.0
0.622,0.00311739,-0.00105162,20.8775,-0.854449,1.25427,5235.99,18.6537,19.758,20.2948,20.2948,5.00528,5.08529,5.33256,5.79002,6.55107,7.81587,10.0649,14.7609,29.3431,200.0,28.264,14.4797,9.93589,7.74172,6.50319,5.7571,5.3093,5.06903,4.99477,-0.1515080776895695,0.7645962762286459,0.0
0.642,0.00661737,-0.00204058,21.6,-0.668348,1.29791,5235.99,19.5525,20.0858,20.2327,20.2327,5.01031,5.09355,5.34474,5.8076,6.57702,7.85662,10.1368,14.9205,29.9783,200.0,27.6963,14.329,9.86672,7.70218,6.47789,5.73992,5.29739,5.06098,4.98991,0.022210031088865944,0.8116770209829167,0.0
0.662,0.0074628,-0.00269995,22.2887,-0.234414,1.33918,5235.99,20.4142,20.3886,21.0141,21.0141,5.01364,5.09769,5.34994,5.8143,6.58608,7.86983,10.1586,14.9658,30.1484,200.0,27.5508,14.287,9.84601,7.68945,6.46909,5.73337,5.2923,5.05691,4.98664,0.16933803530053604,0.8493416167863334,0.0
0.682,0.00598175,-0.00285282,22.9835,0.230361,1.38008,5235.99,21.3093,20.7763,21.8985,21.8985,5.01435,5.09708,5.34781,5.81014,6.5788,7.85696,10.1337,14.906,29.8905,200.0,27.7701,14.3419,9.8694,7.70166,6.47603,5.73732,5.29428,5.05741,4.98583,0.2938469225054556,0.8794732934290667,0.0
0.702,0.00237352,-0.00245628,23.6856,0.660971,1.42181,5235.99,22.2333,21.2342,22.8442,22.8442,5.0123,5.09175,5.33858,5.79564,6.55614,7.81986,10.066,14.7512,29.2585,200.0,28.3417,14.4887,9.93462,7.73765,6.49808,5.75146,5.30325,5.06256,4.98773,0.39909214225463724,0.7535786347432533,0.0
0.722,-0.00302237,-0.00144949,24.3173,1.07059,1.46369,5235.99,23.0694,21.7182,23.0044,23.0044,5.00727,5.08181,5.32277,5.77183,6.51999,7.76197,9.96238,14.5197,28.3498,200.0,29.2537,14.7201,10.0381,7.79546,6.53418,5.77524,5.31905,5.0725,4.99278,0.18796835541644166,0.8028629077946026,0.0
0.742,-0.00771015,-0.000161839,25.0175,0.901436,1.50375,5235.99,23.3773,22.5622,23.6773,23.6773,5.00096,5.07121,5.30702,5.74902,6.48632,7.70927,9.87011,14.3185,27.5928,200.0,30.1065,14.9334,10.134,7.84972,6.56867,5.79855,5.33516,5.08337,4.99934,0.008487818228975423,0.842290326235682,0.0
0.762,-0.00944346,0.000814438,25.743,0.442601,1.54379,5235.99,23.6354,23.4845,24.4257,24.4257,4.99615,5.06479,5.29858,5.73777,6.47074,7.68613,9.83149,14.2383,27.3091,200.0,30.4494,15.0213,10.175,7.87392,6.58482,5.81014,5.34383,5.08997,5.0043,-0.14350781263037088,0.8738322609885456,0.0
0.782,-0.00840348,0.00127201,26.4635,-0.0651954,1.58544,5235.99,23.9792,24.4336,25.3141,25.3141,4.99382,5.06335,5.2981,5.73852,6.47332,7.69196,9.84434,14.2714,27.45,200.0,30.2743,14.9841,10.161,7.86758,6.58198,5.80924,5.34419,5.09131,5.00654,-0.27207577548581524,0.7490658087908365,0.0
0.802,-0.00500267,0.00108862,27.1041,-0.571496,1.62815,5235.99,24.3738,25.316,25.4207,25.4207,4.99462,5.0672,5.3055,5.75068,6.49276,7.72419,9.90342,14.4053,27.9693,200.0,29.6673,14.8391,10.0985,7.83389,6.56177,5.7966,5.33647,5.08721,5.00551,-0.380729337162943,0.7992526470326692,0.0
0.822,0.000398938,0.000246048,27.7119,-1.02369,1.66838,5235.99,24.7688,26.1704,26.352,26.352,4.99877,5.07624,5.32035,5.77341,6.52761,7.78041,10.0045,14.6315,28.8521,200.0,28.7359,14.6066,9.99556,7.77684,6.52646,5.77359,5.32143,5.07803,5.00123,-0.3224571347135015,0.8394021176261354,0.0
0.842,0.0065468,-0.00109091,28.4039,-1.14844,1.70776,5235.99,25.4334,26.8317,27.2023,27.2023,5.00556,5.08865,5.33953,5.80185,6.57039,7.84851,10.1259,14.9034,29.9374,200.0,27.7333,14.3454,9.8773,7.71014,6.48443,5.74561,5.30256,5.06586,4.99465,-0.1225366388314763,0.7215216941009083,0.0
0.862,0.010938,-0.0024889,29.0907,-0.841752,1.747,5235.99,26.3202,27.0442,27.0946,27.0946,5.01274,5.09991,5.35577,5.825,6.60429,7.90144,10.2191,15.1104,30.7765,200.0,27.0461,14.158,9.79023,7.65987,6.45196,5.72333,5.28691,5.05505,4.98785,0.04718716199324513,0.7772173552807267,0.0
0.882,0.0120104,-0.00349016,29.7424,-0.327392,1.78489,5235.99,27.209,27.2152,27.8579,27.8579,5.01781,5.10603,5.36329,5.83453,6.61698,7.9197,10.2488,15.1718,31.0087,200.0,26.8654,14.1036,9.76272,7.64263,6.43982,5.71414,5.27962,5.04909,4.98291,0.19078736269425833,0.8217738842245813,0.0
0.902,0.0101507,-0.00390549,30.3998,0.209254,1.82362,5235.99,28.1257,27.4908,28.7705,28.7705,5.01979,5.10636,5.36175,5.83052,6.60916,7.90503,10.2193,15.098,30.6737,200.0,27.1215,14.1675,9.78934,7.65602,6.44697,5.71774,5.28087,5.04853,4.98073,0.3121547232901196,0.8574191073796651,0.0
0.922,0.00563986,-0.00364943,31.0652,0.701625,1.86395,5235.99,29.0735,27.8522,29.7553,29.7553,5.01833,5.10082,5.35138,5.8136,6.58211,7.85996,10.1357,14.9035,29.8543,200.0,27.8,14.3436,9.86727,7.69861,6.47269,5.73385,5.29069,5.05366,4.98183,0.41458445604660166,0.735935285903732,0.0
0.942,-0.00113314,-0.00267935,31.6671,1.16223,1.90443,5249.92,29.9508,28.2594,29.8826,29.8826,5.0134,5.08972,5.33295,5.78519,6.53831,7.78895,10.0072,14.6127,28.6867,200.0,28.9025,14.6254,9.99282,7.76827,6.51575,5.76181,5.30883,5.06454,4.98661,0.35091503238961136,0.7887482287229857,0.0
0.962,-0.00861662,-0.00111713,32.3098,1.32691,1.94532,5414.6,30.6019,28.8886,30.8164,30.8164,5.00577,5.07528,5.31038,5.75155,6.48766,7.70844,9.86432,14.2974,27.484,200.0,30.2406,14.9573,10.1405,7.85084,6.56747,5.7961,5.33186,5.07937,4.9946,0.14636441478116968,0.6809985829783886,0.0
0.982,-0.0141217,0.000609875,32.983,0.986591,2.08629,5381.25,30.7345,29.8402,30.6504,30.6504,4.99745,5.06194,5.29098,5.72389,6.4473,7.64596,9.75625,14.0658,26.6451,200.0,31.3231,15.22,10.258,7.9174,6.61,5.8251,5.35218,5.09342,5.00355,-0.02728964068600578,0.7447988663827109,0.0
1.004,-0.0155536,0.00201941,33.6991,0.368229,2.22851,5540.5,30.8502,30.8769,31.5353,31.5353,4.99051,5.05363,5.28089,5.71125,6.43071,7.62255,9.71916,13.9932,26.4094,200.0,31.6472,15.3044,10.2989,7.9425,6.62751,5.83829,5.36264,5.10199,5.0107,-0.1740837333331049,0.7958390931061687,0.0
1.024,-0.0134909,0.00263548,34.3751,-0.192285,2.34025,5742.52,31.1078,31.822,32.67,32.67,4.98728,5.05219,5.28141,5.7143,6.43755,7.63604,9.74678,14.0606,26.6792,200.0,31.2646,15.2232,10.2672,7.92729,6.61978,5.83469,5.36173,5.10312,5.01363,-0.2980387583331392,0.6866712744849349,0.0
1.044,-0.00859278,0.00253754,35.0016,-0.723273,2.43267,5770.2,31.4352,32.7394,32.8438,32.8438,4.9875,5.05677,5.29103,5.73063,6.46411,7.68051,9.82871,14.2461,27.3872,200.0,30.3469,15.0111,10.1772,7.87934,6.59137,5.81723,5.35132,5.09793,5.01287,-0.4026143233331683,0.749337019587948,0.0
1.064,-0.00135105,0.00165825,35.6149,-1.17787,2.50065,5995.75,31.7854,33.6098,34.1086,34.1086,4.99171,5.06751,5.30946,5.75944,6.50884,7.75324,9.96011,14.5408,28.5276,200.0,29.0643,14.6978,10.0401,7.80409,6.54529,5.7876,5.33234,5.08677,5.0083,-0.49073397158319304,0.6494696156703583,0.0
1.084,0.00805837,-8.39233e-06,36.2021,-1.5626,2.54423,6036.62,32.1841,34.4622,34.3613,34.3613,5.0002,5.08457,5.33676,5.80073,6.57174,7.85437,10.142,14.9506,30.1741,200.0,27.5361,14.3027,9.86258,7.70481,6.48335,5.7469,5.30546,5.07005,5.00012,-0.2648221852207141,0.5695756925362866,0.0
1.104,0.017094,-0.00223646,36.7987,-1.46009,2.56503,6026.42,32.9498,34.7997,34.3336,34.3336,5.01191,5.10462,5.36696,5.84495,6.63781,7.95932,10.3297,15.3761,31.9612,200.0,26.194,13.934,9.69211,7.60737,6.42128,5.70512,5.27693,5.05129,4.98955,-0.07253776106260702,0.6556605540290292,0.0
1.124,0.0221346,-0.00440359,37.4545,-0.977789,2.57441,6175.69,33.8474,34.7652,35.1626,35.1626,5.02325,5.12073,5.38905,5.87545,6.6815,8.02656,10.4471,15.6382,33.0812,200.0,25.4756,13.7235,9.59065,7.54714,6.38134,5.67693,5.2564,5.03635,4.9792,0.09024407809678403,0.7245284432232234,0.0
1.144,0.0232084,-0.00609159,38.1521,-0.407769,2.58725,6399.82,34.8141,34.8686,36.4143,36.4143,5.03181,5.13044,5.40037,5.88916,6.69905,8.05083,10.4852,15.7142,33.3701,200.0,25.2961,13.6625,9.5575,7.52515,6.36505,5.66397,5.24558,5.02699,4.97088,0.22780596388226643,0.6296227545785787,0.0
